school_year	on_year_glance_calendar	on_faculty_calendar	on_weekly_bulletin	type	cycle	start_date	end_date	start_time	end_time	google_title	title	location	iolani_team	is_home_game	iolani_opponent	trainers	non_iolani_team_a	non_iolani_team_b	notes	lunch_type_a	lunch_type_b
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	4/30/2014	 		 	Special May Day Schedule	Special May Day Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	5/1/2014	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/1/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/2/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	5/5/2014	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/5/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/6/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/7/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/8/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/9/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	5/12/2014	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	5/12/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	5/13/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	5/14/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	5/15/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	5/16/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	5/19/2014	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/19/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/20/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/21/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/22/2014	 		 	Moving Up Chapel Schedule	Moving Up Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	5/23/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	5/27/2014	 		 	(Cycle 3)	Cycle 3 SC n/a Pd. 8   										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/27/2014	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/28/2014	 		 	Variety/Athletic Assembly Schedule	Variety/Athletic Assembly Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/29/2014	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	5/30/2014	 		 	Basic Schedule	Basic Schedule										
