school_year	on_year_glance_calendar	on_faculty_calendar	on_weekly_bulletin	type	cycle	start_date	end_date	start_time	end_time	google_title	title	location	iolani_team	is_home_game	iolani_opponent	trainers	non_iolani_team_a	non_iolani_team_b	notes	lunch_type_a	lunch_type_b
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/7/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	2/10/2014	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	2/10/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	2/11/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	2/12/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	2/13/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	2/14/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	2/17/2014	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	2/18/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	2/19/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	2/20/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	2/21/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	2/24/2014	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/24/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/25/2014	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/26/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/27/2014	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/28/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	3/3/2014	 		 	(Cycle 1)	Cycle 1            										
